"Device","Standard Name","Display Name","Units","Timestamp","Timezone","Value"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 21:00","undefined","31.91"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 21:15","undefined","32.32"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 21:30","undefined","30.99"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 21:45","undefined","31.43"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 22:00","undefined","32.78"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 22:15","undefined","31.26"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 22:30","undefined","31.75"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 22:45","undefined","31.58"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 23:00","undefined","32.06"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 23:15","undefined","31.15"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 23:30","undefined","31.88"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 23:45","undefined","30.64"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 00:00","undefined","32.09"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 00:15","undefined","30.57"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 00:30","undefined","31.78"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 00:45","undefined","31.02"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 01:00","undefined","31.99"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 01:15","undefined","30.88"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 01:30","undefined","31.75"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 01:45","undefined","31.6"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 02:00","undefined","32.4"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 02:15","undefined","32.13"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 02:30","undefined","32.17"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 02:45","undefined","31.47"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 03:00","undefined","31.78"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 03:15","undefined","32.53"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 03:30","undefined","32.94"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 03:45","undefined","32.57"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 04:00","undefined","32.34"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 04:15","undefined","32.49"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 04:30","undefined","33.67"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 04:45","undefined","33.42"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 05:00","undefined","34.48"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 05:15","undefined","34.05"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 05:30","undefined","34.1"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 05:45","undefined","35.43"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 06:00","undefined","35.45"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 06:15","undefined","37.59"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 06:30","undefined","38.19"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 06:45","undefined","39.71"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 07:00","undefined","38.49"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 07:15","undefined","38.82"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 07:30","undefined","40.27"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 07:45","undefined","39.92"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 08:00","undefined","42.43"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 08:15","undefined","42.07"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 08:30","undefined","42.77"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 08:45","undefined","41.8"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 09:00","undefined","42.99"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 09:15","undefined","42.1"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 09:30","undefined","41.84"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 09:45","undefined","41.13"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 10:00","undefined","41.53"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 10:15","undefined","41.96"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 10:30","undefined","45.39"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 10:45","undefined","44.63"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 11:00","undefined","45.21"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 11:15","undefined","44.96"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 11:30","undefined","43.79"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 11:45","undefined","43.61"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 12:00","undefined","44.24"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 12:15","undefined","43.86"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 12:30","undefined","43.11"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 12:45","undefined","42.5"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 13:00","undefined","41.84"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 13:15","undefined","42.82"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 13:30","undefined","42.62"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 13:45","undefined","42.42"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 14:00","undefined","41.53"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 14:15","undefined","41.79"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 14:30","undefined","39.91"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 14:45","undefined","41.17"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 15:00","undefined","41.11"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 15:15","undefined","41.54"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 15:30","undefined","40.98"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 15:45","undefined","40.37"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 16:00","undefined","39.38"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 16:15","undefined","40.31"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 16:30","undefined","39.27"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 16:45","undefined","40.23"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 17:00","undefined","39.81"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 17:15","undefined","40.18"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 17:30","undefined","38.33"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 17:45","undefined","38.67"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 18:00","undefined","39.09"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 18:15","undefined","38.46"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 18:30","undefined","37.56"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 18:45","undefined","38.94"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 19:00","undefined","38.18"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 19:15","undefined","38.63"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 19:30","undefined","39.73"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 19:45","undefined","39.56"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 20:00","undefined","38.48"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 20:15","undefined","38.84"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 20:30","undefined","37.91"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 20:45","undefined","39.05"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 21:00","undefined","37.53"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 21:15","undefined","39.5"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 21:30","undefined","37.58"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 21:45","undefined","38.31"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 22:00","undefined","38"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 22:15","undefined","38.22"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 22:30","undefined","38.52"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 22:45","undefined","38.52"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 23:00","undefined","38.76"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 23:15","undefined","37.97"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 23:30","undefined","35.8"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/02/15 23:45","undefined","35.98"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 00:00","undefined","36.71"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 00:15","undefined","34.4"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 00:30","undefined","33.57"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 00:45","undefined","33.25"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 01:00","undefined","34.73"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 01:15","undefined","34.93"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 01:30","undefined","34.63"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 01:45","undefined","33.92"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 02:00","undefined","35.16"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 02:15","undefined","34.96"
